ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
PONOROGO,2026,6,0.238095238095238,223.3592529218984,355.3725826461993,6.104443504020314,3.3143461701227257,267.0807024968262,267.0807024968262,578.7318355680977,6.104443504020314,1.132128095558434,1.080048316883314,0.5801596891945976,0.5628858140009337,⚠️ WASPADA,53.8,0.1,total_hujan_lag2
PONOROGO,2026,7,0.238095238095238,136.05309814729443,223.3592529218984,15.0,6.104443504020314,250.57416673719857,267.0807024968262,359.4123510691928,15.0,1.0,1.132128095558434,0.5855741712682757,0.5801596891945976,✅ AMAN,36.5,1.4,probabilitas_risiko_historis
PROBOLINGGO,2026,5,0.2738095238095238,365.6339541265809,481.91161650178265,8.97622875647606,2.7631662308506395,323.50460199097984,318.6630904462012,847.5455706283635,8.97622875647606,1.6057166811188084,1.695445353623676,0.6934195129683663,0.6756478340503169,⚠️ WASPADA,80.0,0.0,probabilitas_risiko_historis
PROBOLINGGO,2026,6,0.2738095238095238,128.11342560470948,365.6339541265809,8.177727246832879,8.97622875647606,320.7069990010599,323.50460199097984,493.7473797312904,8.97622875647606,0.9660176744508616,1.6057166811188084,0.7192074020135025,0.6934195129683663,⚠️ WASPADA,83.3,0.6,probabilitas_risiko_historis
PROBOLINGGO,2026,7,0.2738095238095238,84.50006867209983,128.11342560470948,15.0,8.177727246832879,291.63941189629315,320.7069990010599,212.6134942768093,15.0,1.0,0.9660176744508616,0.7163569491869306,0.7192074020135025,✅ AMAN,32.3,8.4,total_hujan_lag2
SAMPANG,2026,5,0.2261904761904762,241.3208904180337,319.3057145332247,5.748637129547029,3.322826841114083,273.9763074484944,273.9763074484944,560.6266049512584,5.748637129547029,0.9800930421157816,1.2775305598906606,0.6761359170238526,0.6788095985849979,⚠️ WASPADA,82.5,0.0,total_hujan_lag2
SAMPANG,2026,6,0.2261904761904762,164.26199988756878,241.3208904180337,8.556348498364553,5.748637129547029,273.3269572107766,273.9763074484944,405.5828903056025,8.556348498364553,0.8603725775254578,0.9800930421157816,0.6947885455841606,0.6761359170238526,✅ AMAN,33.4,1.9,probabilitas_risiko_historis
SAMPANG,2026,7,0.2261904761904762,106.8682392665071,164.26199988756878,15.0,8.556348498364553,244.92407290015845,273.3269572107766,271.13023915407587,15.0,1.0,0.8603725775254578,0.678796675112423,0.6947885455841606,✅ AMAN,14.8,1.0,probabilitas_risiko_historis
SIDOARJO,2026,5,0.238095238095238,307.9381413321194,399.5087990613424,2.7346300022356367,1.8390342052313884,270.95189732142865,270.95189732142865,707.4469403934618,2.7346300022356367,1.051488208877115,1.2130089806933926,0.834431627890748,0.8359044458000022,⚠️ WASPADA,57.4,0.7,total_hujan_lag2
SIDOARJO,2026,6,0.238095238095238,191.0467867923215,307.9381413321194,6.889112452492736,2.7346300022356367,270.26065178571434,270.95189732142865,498.9849281244409,6.889112452492736,1.015134957641237,1.051488208877115,0.86551322893352,0.834431627890748,⚠️ WASPADA,56.2,4.8,total_hujan_lag2
SIDOARJO,2026,7,0.238095238095238,112.80275062335946,191.0467867923215,15.0,6.889112452492736,237.0868482142857,270.26065178571434,303.84953741568097,15.0,1.0,1.015134957641237,0.8257820242496536,0.86551322893352,✅ AMAN,20.1,0.7,probabilitas_risiko_historis
SITUBONDO,2026,5,0.2619047619047619,350.5495204743161,490.1797044243614,9.262439233628823,2.666714326565627,310.0368037770942,307.22823520995775,840.7292248986776,9.262439233628823,1.352989037602033,1.5717637410935903,0.5346701776878805,0.5418713041796968,⚠️ WASPADA,81.4,0.0,probabilitas_risiko_historis
SITUBONDO,2026,6,0.2619047619047619,113.7885382098063,350.5495204743161,9.100800686302543,9.262439233628823,309.1393132555977,310.0368037770942,464.3380586841224,9.262439233628823,0.8432971561783892,1.352989037602033,0.5477679834287066,0.5346701776878805,⚠️ WASPADA,90.9,0.0,total_hujan_lag2
SITUBONDO,2026,7,0.2619047619047619,81.33072049046962,113.7885382098063,15.0,9.100800686302543,281.24160097288785,309.1393132555977,195.1192587002759,15.0,1.0,0.8432971561783892,0.5404980866705835,0.5477679834287066,✅ AMAN,38.4,1.6,total_hujan_lag2
SUMENEP,2026,5,0.2619047619047619,246.31360376982883,353.384755057599,9.584530903142886,4.856817385208551,124.33207547169808,124.33207547169808,599.6983588274279,9.584530903142886,1.0340567832760323,1.3792218177848483,0.295695219039853,0.3130386517068385,⚠️ WASPADA,93.3,0.0,total_hujan_lag2
SUMENEP,2026,6,0.2619047619047619,110.70878871117584,246.31360376982883,13.178233438485806,9.584530903142886,122.43248828669114,124.33207547169808,357.02239248100466,13.178233438485806,0.6631627563329181,1.0340567832760323,0.2948420589087715,0.295695219039853,⚠️ WASPADA,54.3,1.2,total_hujan_lag2
SUMENEP,2026,7,0.2619047619047619,105.98203290264358,110.70878871117584,15.0,13.178233438485806,102.3741610738255,122.43248828669114,216.69082161381945,15.0,1.0,0.6631627563329181,0.2568217010712258,0.2948420589087715,⚠️ WASPADA,54.7,2.8,total_hujan_lag2
